CustomerID,CompanyName,ContactName,ContactTitle,OrderDate,UnitPrice,Discount,Freight,ProductName,CategoryName
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,00:00.0,14,0,32.38,Queso Cabrales,Dairy Products
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,00:00.0,9.8,0,32.38,Singaporean Hokkien Fried Mee,Grains/Cereals
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,00:00.0,34.8,0,32.38,Mozzarella di Giovanni,Dairy Products
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,00:00.0,18.6,0,11.61,Tofu,Produce
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,00:00.0,42.4,0,11.61,Manjimup Dried Apples,Produce
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,00:00.0,7.7,0,65.83,Jack's New England Clam Chowder,Seafood
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,00:00.0,42.4,0.15,65.83,Manjimup Dried Apples,Produce
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,00:00.0,16.8,0.15,65.83,Louisiana Fiery Hot Pepper Sauce,Condiments
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,00:00.0,16.8,0.05,41.34,Gustaf's Knäckebröd,Grains/Cereals
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,00:00.0,15.6,0.05,41.34,Ravioli Angelo,Grains/Cereals
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,00:00.0,16.8,0,41.34,Louisiana Fiery Hot Pepper Sauce,Condiments
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,00:00.0,64.8,0.05,51.3,Sir Rodney's Marmalade,Confections
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,00:00.0,2,0.05,51.3,Geitost,Dairy Products
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,00:00.0,27.2,0,51.3,Camembert Pierrot,Dairy Products
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,00:00.0,10,0,58.17,Gorgonzola Telino,Dairy Products
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,00:00.0,14.4,0,58.17,Chartreuse verte,Beverages
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,00:00.0,16,0,58.17,Maxilaku,Confections
CHOPS,Chop-suey Chinese,Yang Wang,Owner,00:00.0,3.6,0.15,22.98,Guaraná Fantástica,Beverages
CHOPS,Chop-suey Chinese,Yang Wang,Owner,00:00.0,19.2,0.15,22.98,Pâté chinois,Meat/Poultry
CHOPS,Chop-suey Chinese,Yang Wang,Owner,00:00.0,8,0,22.98,Longlife Tofu,Produce
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,00:00.0,15.2,0,148.33,Chang,Beverages
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,00:00.0,13.9,0,148.33,Pavlova,Confections
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,00:00.0,15.2,0,148.33,Inlagd Sill,Seafood
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,00:00.0,44,0,148.33,Raclette Courdavault,Dairy Products
WELLI,Wellington Importadora,Paula Parente,Sales Manager,00:00.0,26.2,0,13.97,Perth Pasties,Meat/Poultry
WELLI,Wellington Importadora,Paula Parente,Sales Manager,00:00.0,10.4,0,13.97,Original Frankfurter grüne Soße,Condiments
