Customer Id,Customer,Contact,Contact Title,Order Date,Order Id,Category,Product,Sales Price,Quantity,Discount
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,7/4/1996,10248,Dairy Products,Queso Cabrales,14,12,0
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,7/4/1996,10248,Grains/Cereals,Singaporean Hokkien Fried Mee,9.8,10,0
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,7/4/1996,10248,Dairy Products,Mozzarella di Giovanni,34.8,5,0
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,7/5/1996,10249,Produce,Tofu,18.6,9,0
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,7/5/1996,10249,Produce,Manjimup Dried Apples,42.4,40,0
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,7/8/1996,10250,Seafood,Jack's New England Clam Chowder,7.7,10,0
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,7/8/1996,10250,Produce,Manjimup Dried Apples,42.4,35,0.15
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,7/8/1996,10250,Condiments,Louisiana Fiery Hot Pepper Sauce,16.8,15,0.15
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,7/8/1996,10251,Grains/Cereals,Gustaf's Knäckebröd,16.8,6,0.05
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,7/8/1996,10251,Grains/Cereals,Ravioli Angelo,15.6,15,0.05
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,7/8/1996,10251,Condiments,Louisiana Fiery Hot Pepper Sauce,16.8,20,0
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,7/9/1996,10252,Confections,Sir Rodney's Marmalade,64.8,40,0.05
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,7/9/1996,10252,Dairy Products,Geitost,2,25,0.05
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,7/9/1996,10252,Dairy Products,Camembert Pierrot,27.2,40,0
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,7/10/1996,10253,Dairy Products,Gorgonzola Telino,10,20,0
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,7/10/1996,10253,Beverages,Chartreuse verte,14.4,42,0
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,7/10/1996,10253,Confections,Maxilaku,16,40,0
CHOPS,Chop-suey Chinese,Yang Wang,Owner,7/11/1996,10254,Beverages,Guaraná Fantástica,3.6,15,0.15
CHOPS,Chop-suey Chinese,Yang Wang,Owner,7/11/1996,10254,Meat/Poultry,Pâté chinois,19.2,21,0.15
CHOPS,Chop-suey Chinese,Yang Wang,Owner,7/11/1996,10254,Produce,Longlife Tofu,8,21,0
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,7/12/1996,10255,Beverages,Chang,15.2,20,0
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,7/12/1996,10255,Confections,Pavlova,13.9,35,0
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,7/12/1996,10255,Seafood,Inlagd Sill,15.2,25,0
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,7/12/1996,10255,Dairy Products,Raclette Courdavault,44,30,0
WELLI,Wellington Importadora,Paula Parente,Sales Manager,7/15/1996,10256,Meat/Poultry,Perth Pasties,26.2,15,0
WELLI,Wellington Importadora,Paula Parente,Sales Manager,7/15/1996,10256,Condiments,Original Frankfurter grüne Soße,10.4,12,0
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,7/16/1996,10257,Confections,Schoggi Schokolade,35.1,25,0
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,7/16/1996,10257,Beverages,Chartreuse verte,14.4,6,0
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,7/16/1996,10257,Condiments,Original Frankfurter grüne Soße,10.4,15,0
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,7/17/1996,10258,Beverages,Chang,15.2,50,0.2
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,7/17/1996,10258,Condiments,Chef Anton's Gumbo Mix,17,65,0.2
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,7/17/1996,10258,Dairy Products,Mascarpone Fabioli,25.6,6,0.2
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,7/18/1996,10259,Confections,Sir Rodney's Scones,8,10,0
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,7/18/1996,10259,Seafood,Gravad lax,20.8,1,0
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,7/19/1996,10260,Seafood,Jack's New England Clam Chowder,7.7,16,0.25
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,7/19/1996,10260,Grains/Cereals,Ravioli Angelo,15.6,50,0
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,7/19/1996,10260,Confections,Tarte au sucre,39.4,15,0.25
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,7/19/1996,10260,Beverages,Outback Lager,12,21,0.25
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,7/19/1996,10261,Confections,Sir Rodney's Scones,8,20,0
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,7/19/1996,10261,Beverages,Steeleye Stout,14.4,20,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,7/22/1996,10262,Condiments,Chef Anton's Gumbo Mix,17,12,0.2
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,7/22/1996,10262,Produce,Uncle Bob's Organic Dried Pears,24,15,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,7/22/1996,10262,Grains/Cereals,Gnocchi di nonna Alice,30.4,2,0
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,7/23/1996,10263,Confections,Pavlova,13.9,60,0.25
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,7/23/1996,10263,Beverages,Guaraná Fantástica,3.6,28,0
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,7/23/1996,10263,Seafood,Nord-Ost Matjeshering,20.7,60,0.25
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,7/23/1996,10263,Produce,Longlife Tofu,8,36,0.25
FOLKO,Folk och fä HB,Maria Larsson,Owner,7/24/1996,10264,Beverages,Chang,15.2,35,0
FOLKO,Folk och fä HB,Maria Larsson,Owner,7/24/1996,10264,Seafood,Jack's New England Clam Chowder,7.7,25,0.15
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,7/25/1996,10265,Meat/Poultry,Alice Mutton,31.2,30,0
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,7/25/1996,10265,Beverages,Outback Lager,12,20,0
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,7/26/1996,10266,Dairy Products,Queso Manchego La Pastora,30.4,12,0.05
